center,max,min,mean
347.083,0.211651,0.211651,0.211651
351.105,0.131315,0.131315,0.131315
351.138,0.202123,0.202123,0.202123
351.171,0.180415,0.180415,0.180415
353.009,1.2962,1.2962,1.2962
353.075,0.726347,0.726347,0.726347
353.075,1.75332,1.75332,1.75332
353.075,0.555877,0.555877,0.555877
354.028,0.134225,0.134225,0.134225
354.061,0.223254,0.223254,0.223254
355.082,0.181,0.181,0.181
355.148,0.315666,0.315666,0.315666
355.181,0.228257,0.228257,0.228257
355.181,0.202287,0.202287,0.202287
357.094,0.251794,0.251794,0.251794
357.16,0.290808,0.290808,0.290808
357.16,0.166896,0.166896,0.166896
357.16,0.272369,0.272369,0.272369
369.005,0.386242,0.386242,0.386242
369.038,0.553353,0.553353,0.553353
369.072,0.319122,0.319122,0.319122
369.072,0.25322,0.25322,0.25322
371.018,0.108477,0.108477,0.108477
371.085,0.202942,0.202942,0.202942
373.07,0.121019,0.121019,0.121019
373.137,0.197039,0.197039,0.197039
379.085,0.495214,0.495214,0.495214
379.153,0.267127,0.267127,0.267127
379.153,0.367678,0.367678,0.367678
379.187,0.184708,0.184708,0.184708
380.103,0.136295,0.136295,0.136295
392.035,0.141956,0.141956,0.141956
392.069,0.265671,0.265671,0.265671
393.033,0.116925,0.116925,0.116925
393.102,0.215571,0.215571,0.215571
395.069,0.238786,0.238786,0.238786
395.104,0.312065,0.312065,0.312065
395.138,0.301313,0.301313,0.301313
395.138,0.212477,0.212477,0.212477
401.1,0.523668,0.523668,0.523668
401.134,0.653062,0.653062,0.653062
401.169,0.330424,0.330424,0.330424
401.169,0.565703,0.565703,0.565703
402.074,0.143545,0.143545,0.143545
402.143,0.139898,0.139898,0.139898
402.143,0.198613,0.198613,0.198613
402.178,0.219957,0.219957,0.219957
408.012,0.140778,0.140778,0.140778
408.082,0.231695,0.231695,0.231695
408.993,0.108834,0.108834,0.108834
409.063,0.205298,0.205298,0.205298
411.03,0.263771,0.263771,0.263771
411.1,0.344909,0.344909,0.344909
411.1,0.277911,0.277911,0.277911
411.1,0.373053,0.373053,0.373053
417.062,0.308,0.308,0.308
417.132,0.498675,0.498675,0.498675
417.132,0.2873,0.2873,0.2873
417.132,0.443083,0.443083,0.443083
418.053,0.112554,0.112554,0.112554
418.159,0.186443,0.186443,0.186443
423.061,0.136117,0.136117,0.136117
423.133,0.182495,0.182495,0.182495
423.204,0.226201,0.226201,0.226201
425.308,0.265663,0.265663,0.265663
425.308,0.139757,0.139757,0.139757
433.014,0.1123,0.1123,0.1123
433.122,0.205812,0.205812,0.205812
433.122,0.192698,0.192698,0.192698
433.158,0.168679,0.168679,0.168679
437.306,0.213754,0.213754,0.213754
439.043,0.158983,0.158983,0.158983
439.116,0.241554,0.241554,0.241554
439.116,0.25477,0.25477,0.25477
439.152,0.15969,0.15969,0.15969
441.291,0.189638,0.189638,0.189638
441.327,0.338181,0.338181,0.338181
445.037,1.63834,1.63834,1.63834
445.11,0.640051,0.640051,0.640051
445.11,1.29354,1.29354,1.29354
445.11,1.28622,1.28622,1.28622
446.057,0.362189,0.362189,0.362189
446.094,0.369069,0.369069,0.369069
446.13,0.357262,0.357262,0.357262
446.13,0.208267,0.208267,0.208267
447.262,0.302063,0.302063,0.302063
447.298,0.605659,0.605659,0.605659
447.335,0.145502,0.145502,0.145502
447.335,0.222984,0.222984,0.222984
448.285,0.345465,0.345465,0.345465
448.285,0.169691,0.169691,0.169691
449.309,0.227861,0.227861,0.227861
450.334,0.2075,0.2075,0.2075
450.407,0.14147,0.14147,0.14147
455.144,0.1878,0.1878,0.1878
457.281,0.191839,0.191839,0.191839
461.013,2.10998,2.10998,2.10998
461.087,1.571,1.571,1.571
461.087,0.940238,0.940238,0.940238
461.087,1.79807,1.79807,1.79807
462.013,0.425611,0.425611,0.425611
462.088,0.404696,0.404696,0.404696
462.088,0.446687,0.446687,0.446687
462.088,0.262922,0.262922,0.262922
463.089,0.259962,0.259962,0.259962
463.274,0.508089,0.508089,0.508089
463.311,0.176522,0.176522,0.176522
463.311,0.289149,0.289149,0.289149
463.311,0.970961,0.970961,0.970961
464.276,0.229266,0.229266,0.229266
464.314,0.459837,0.459837,0.459837
464.425,0.192656,0.192656,0.192656
464.425,0.203283,0.203283,0.203283
465.28,0.128525,0.128525,0.128525
465.317,0.282112,0.282112,0.282112
467.028,0.178386,0.178386,0.178386
467.103,0.194605,0.194605,0.194605
467.289,0.223526,0.223526,0.223526
468.333,0.129282,0.129282,0.129282
468.407,0.252202,0.252202,0.252202
468.444,0.177341,0.177341,0.177341
468.444,0.210987,0.210987,0.210987
469.302,0.251404,0.251404,0.251404
469.34,0.495994,0.495994,0.495994
469.377,0.273064,0.273064,0.273064
469.377,0.159559,0.159559,0.159559
470.348,0.218038,0.218038,0.218038
473.341,0.191488,0.191488,0.191488
477.019,0.715492,0.715492,0.715492
477.057,0.915486,0.915486,0.915486
477.057,0.662524,0.662524,0.662524
477.057,0.550654,0.550654,0.550654
477.997,0.185211,0.185211,0.185211
478.072,0.25615,0.25615,0.25615
478.072,0.169779,0.169779,0.169779
478.072,0.203909,0.203909,0.203909
478.976,0.170314,0.170314,0.170314
479.089,0.226005,0.226005,0.226005
479.089,0.15267,0.15267,0.15267
479.24,0.302634,0.302634,0.302634
479.277,0.638273,0.638273,0.638273
479.315,0.148592,0.148592,0.148592
479.315,0.227119,0.227119,0.227119
480.295,0.133811,0.133811,0.133811
480.333,0.30688,0.30688,0.30688
480.408,0.169897,0.169897,0.169897
480.408,0.138406,0.138406,0.138406
481.314,0.194575,0.194575,0.194575
482.371,0.167935,0.167935,0.167935
482.447,0.336136,0.336136,0.336136
482.447,0.285244,0.285244,0.285244
482.447,0.336033,0.336033,0.336033
483.014,0.282639,0.282639,0.282639
483.09,0.200802,0.200802,0.200802
483.09,0.320312,0.320312,0.320312
483.09,0.285557,0.285557,0.285557
483.43,0.197145,0.197145,0.197145
483.43,0.151457,0.151457,0.151457
486.309,0.145169,0.145169,0.145169
486.347,0.242369,0.242369,0.242369
486.423,0.187968,0.187968,0.187968
486.423,0.154612,0.154612,0.154612
488.511,0.146218,0.146218,0.146218
489.271,0.137032,0.137032,0.137032
489.309,0.254355,0.254355,0.254355
489.766,0.121599,0.121599,0.121599
490.261,0.208494,0.208494,0.208494
490.299,0.122576,0.122576,0.122576
490.337,0.231974,0.231974,0.231974
490.337,0.173831,0.173831,0.173831
491.251,0.3103,0.3103,0.3103
491.327,0.597738,0.597738,0.597738
491.327,0.163103,0.163103,0.163103
491.365,0.28937,0.28937,0.28937
492.28,0.144562,0.144562,0.144562
492.318,0.298332,0.298332,0.298332
492.356,0.174336,0.174336,0.174336
493.043,0.181902,0.181902,0.181902
493.272,0.128132,0.128132,0.128132
493.31,0.257427,0.257427,0.257427
495.297,0.281156,0.281156,0.281156
495.297,0.124773,0.124773,0.124773
496.445,0.198265,0.198265,0.198265
496.445,0.165876,0.165876,0.165876
496.445,0.249304,0.249304,0.249304
496.484,0.113484,0.113484,0.113484
497.365,0.219517,0.219517,0.219517
498.975,0.16916,0.16916,0.16916
499.052,0.192242,0.192242,0.192242
499.09,0.159581,0.159581,0.159581
499.09,0.221738,0.221738,0.221738
499.282,0.192111,0.192111,0.192111
502.28,0.169612,0.169612,0.169612
502.319,0.288296,0.288296,0.288296
502.396,0.220946,0.220946,0.220946
502.434,0.192639,0.192639,0.192639
504.322,0.140699,0.140699,0.140699
504.399,0.275197,0.275197,0.275197
504.438,0.254045,0.254045,0.254045
504.438,0.222056,0.222056,0.222056
505.287,0.148561,0.148561,0.148561
505.325,0.29874,0.29874,0.29874
506.02,0.166705,0.166705,0.166705
506.098,0.208053,0.208053,0.208053
506.291,0.278417,0.278417,0.278417
506.368,0.153961,0.153961,0.153961
506.368,0.199274,0.199274,0.199274
507.257,0.26302,0.26302,0.26302
507.296,0.505692,0.505692,0.505692
507.334,0.158867,0.158867,0.158867
507.334,0.257739,0.257739,0.257739
508.263,0.260076,0.260076,0.260076
508.301,0.423158,0.423158,0.423158
508.34,0.298191,0.298191,0.298191
508.418,0.18677,0.18677,0.18677
509.269,0.13701,0.13701,0.13701
509.308,0.252209,0.252209,0.252209
510.471,0.16026,0.16026,0.16026
510.471,0.131088,0.131088,0.131088
510.471,0.198805,0.198805,0.198805
510.51,0.249147,0.249147,0.249147
517.316,0.206591,0.206591,0.206591
518.292,0.152541,0.152541,0.152541
518.37,0.33119,0.33119,0.33119
518.409,0.202198,0.202198,0.202198
518.409,0.28047,0.28047,0.28047
519.308,0.112563,0.112563,0.112563
519.347,0.210705,0.210705,0.210705
520.363,0.226254,0.226254,0.226254
520.402,0.207133,0.207133,0.207133
520.402,0.188834,0.188834,0.188834
521.302,0.226462,0.226462,0.226462
522.36,0.236069,0.236069,0.236069
522.36,0.131027,0.131027,0.131027
522.438,0.178131,0.178131,0.178131
522.438,0.211258,0.211258,0.211258
523.34,0.189213,0.189213,0.189213
524.282,0.273601,0.273601,0.273601
524.321,0.383871,0.383871,0.383871
524.36,0.347323,0.347323,0.347323
524.4,0.2115,0.2115,0.2115
525.303,0.11827,0.11827,0.11827
525.342,0.194602,0.194602,0.194602
526.285,0.18939,0.18939,0.18939
530.382,0.199404,0.199404,0.199404
530.461,0.151855,0.151855,0.151855
